,TRAV1-1*01,TRAV1-1*02,TRAV1-2*01,TRAV1-2*02,TRAV10*01,TRAV11*01,TRAV12-1*01,TRAV12-1*02,TRAV12-2*01,TRAV12-2*02,TRAV12-2*03,TRAV12-3*01,TRAV12-3*02,TRAV13-1*01,TRAV13-1*02,TRAV13-1*03,TRAV13-2*01,TRAV13-2*02,TRAV14/DV4*01,TRAV14/DV4*02,TRAV14/DV4*03,TRAV14/DV4*04,TRAV16*01,TRAV17*01,TRAV18*01,TRAV19*01,TRAV2*01,TRAV2*02,TRAV20*01,TRAV20*02,TRAV20*03,TRAV20*04,TRAV21*01,TRAV21*02,TRAV22*01,TRAV23/DV6*01,TRAV23/DV6*02,TRAV23/DV6*03,TRAV23/DV6*04,TRAV24*01,TRAV24*02,TRAV25*01,TRAV26-1*01,TRAV26-1*02,TRAV26-1*03,TRAV26-2*01,TRAV26-2*02,TRAV27*01,TRAV27*02,TRAV27*03,TRAV29/DV5*01,TRAV29/DV5*02,TRAV3*01,TRAV30*01,TRAV30*02,TRAV30*03,TRAV30*04,TRAV34*01,TRAV35*01,TRAV35*02,TRAV36/DV7*01,TRAV36/DV7*02,TRAV36/DV7*03,TRAV36/DV7*04,TRAV38-1*01,TRAV38-1*02,TRAV38-1*03,TRAV38-1*04,TRAV38-2/DV8*01,TRAV39*01,TRAV4*01,TRAV40*01,TRAV41*01,TRAV5*01,TRAV6*01,TRAV6*02,TRAV6*03,TRAV6*04,TRAV6*05,TRAV6*06,TRAV7*01,TRAV8-1*01,TRAV8-1*02,TRAV8-2*01,TRAV8-2*02,TRAV8-3*01,TRAV8-3*02,TRAV8-3*03,TRAV8-4*01,TRAV8-4*02,TRAV8-4*03,TRAV8-4*04,TRAV8-4*05,TRAV8-4*06,TRAV8-4*07,TRAV8-6*01,TRAV8-6*02,TRAV8-7*01,TRAV9-1*01,TRAV9-2*01,TRAV9-2*02,TRAV9-2*03,TRAV9-2*04
TRAV6*04,69,69,69,46,57,59,62,62,63,63,63,54,54,45,45,45,44,44,69,67,69,67,63,37,58,66,49,49,55,55,55,55,54,54,53,44,44,44,44,60,60,62,55,55,55,56,56,62,62,62,56,56,70,60,60,59,60,54,59,59,64,64,64,64,65,65,65,65,65,52,53,47,55,54,0,0,0,0,0,4,63,75,75,74,74,70,70,70,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
TRAV6*05,69,69,69,46,57,59,62,62,63,63,63,54,54,45,45,45,44,44,69,67,69,67,63,37,58,66,49,49,55,55,55,55,54,54,53,44,44,44,44,60,60,62,55,55,55,56,56,62,62,62,56,56,70,60,60,59,60,54,59,59,64,64,64,64,65,65,65,65,65,52,53,47,55,54,0,0,0,0,0,4,63,75,75,74,74,70,70,70,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
TRAV6*06,68,68,69,46,61,59,63,63,64,64,64,58,58,49,49,49,48,48,73,71,73,71,63,41,57,65,49,49,59,59,59,59,54,54,55,48,48,48,48,60,60,66,59,59,59,60,60,66,66,66,60,60,70,61,61,61,61,55,63,63,64,64,64,64,69,69,69,69,69,54,57,51,59,58,4,4,4,4,4,0,59,75,75,74,74,69,69,69,66,66,66,66,66,71,63,69,69,74,74,72,72,72,72
TRAV7*01,53,53,50,36,46,50,48,48,48,48,48,44,44,47,47,47,53,53,56,56,56,56,48,43,49,59,42,42,34,34,34,34,46,46,38,53,53,53,53,48,48,50,59,59,59,57,57,56,56,56,49,49,55,53,53,53,53,52,46,46,39,42,39,39,59,59,59,59,59,52,54,48,44,52,63,63,63,63,63,59,0,51,51,51,51,58,58,58,52,52,59,52,52,56,51,56,56,58,53,54,54,54,54
TRAV8-1*01,61,61,57,43,72,56,60,60,54,54,58,57,57,66,66,66,66,66,60,60,60,60,44,52,55,56,42,42,53,53,53,53,60,60,51,68,68,68,68,75,75,57,61,61,61,56,56,59,59,59,64,64,42,62,62,62,62,63,65,65,60,64,64,64,70,70,70,70,70,64,59,49,55,62,75,75,75,75,75,75,51,0,0,49,49,29,29,29,51,51,50,51,51,47,42,42,42,53,67,63,63,63,63
TRAV8-1*02,61,61,57,43,72,56,60,60,54,54,58,57,57,66,66,66,66,66,60,60,60,60,44,52,55,56,42,42,53,53,53,53,60,60,51,68,68,68,68,75,75,57,61,61,61,56,56,59,59,59,64,64,42,62,62,62,62,63,65,65,60,64,64,64,70,70,70,70,70,64,59,49,55,62,75,75,75,75,75,75,51,0,0,49,49,29,29,29,51,51,50,51,51,47,42,42,42,53,67,63,63,63,63
TRAV8-2*01,57,57,59,42,66,65,51,51,55,55,55,54,54,59,59,59,58,58,57,57,57,57,34,53,40,60,42,42,52,52,52,52,58,58,50,66,66,66,66,59,59,60,61,61,61,60,60,55,55,55,58,58,40,65,65,65,65,69,58,58,48,52,52,52,63,64,63,63,64,62,62,35,54,57,74,74,74,74,74,74,51,49,49,0,0,38,38,38,12,12,19,12,12,20,19,29,29,31,48,44,44,44,44
TRAV8-2*02,57,57,59,42,66,65,51,51,55,55,55,54,54,59,59,59,58,58,57,57,57,57,34,53,40,60,42,42,52,52,52,52,58,58,50,66,66,66,66,59,59,60,61,61,61,60,60,55,55,55,58,58,40,65,65,65,65,69,58,58,48,52,52,52,63,64,63,63,64,62,62,35,54,57,74,74,74,74,74,74,51,49,49,0,0,38,38,38,12,12,19,12,12,20,19,29,29,31,48,44,44,44,44
TRAV8-3*01,59,59,62,47,76,69,54,54,61,61,61,50,50,60,60,60,60,60,62,62,62,62,44,59,54,49,47,47,59,59,59,59,62,62,57,62,62,62,62,74,74,65,58,58,58,53,53,61,61,61,62,62,36,67,67,67,67,67,66,66,62,66,66,66,67,67,67,67,67,63,52,45,54,59,70,70,70,70,70,69,58,29,29,38,38,0,0,0,35,35,34,35,35,35,26,36,36,46,63,63,63,63,63
TRAV8-3*02,59,59,62,47,76,69,54,54,61,61,61,50,50,60,60,60,60,60,62,62,62,62,44,59,54,49,47,47,59,59,59,59,62,62,57,62,62,62,62,74,74,65,58,58,58,53,53,61,61,61,62,62,36,67,67,67,67,67,66,66,62,66,66,66,67,67,67,67,67,63,52,45,54,59,70,70,70,70,70,69,58,29,29,38,38,0,0,0,35,35,34,35,35,35,26,36,36,46,63,63,63,63,63
